TEXT,TYPE
MIX,BRAND_DIFFERENTIATOR_NAME
MIX BLOSSOM BREEZE,BRAND_DIFFERENTIATOR_NAME
MX FLAVOR,BRAND_DIFFERENTIATOR_NAME
NAKED LEAF SMASH,BRAND_DIFFERENTIATOR_NAME
NIGHT,BRAND_DIFFERENTIATOR_NAME
NIGHT BLUE,BRAND_DIFFERENTIATOR_NAME
ONE,BRAND_DIFFERENTIATOR_NAME
ORANGE,BRAND_DIFFERENTIATOR_NAME
ORANGE LABEL,BRAND_DIFFERENTIATOR_NAME
ORIGINAL,BRAND_DIFFERENTIATOR_NAME
ORIGINAL BLUE,BRAND_DIFFERENTIATOR_NAME
ORIGINAL FLAVOUR,BRAND_DIFFERENTIATOR_NAME
ORIGINAL GOLD,BRAND_DIFFERENTIATOR_NAME
ORIGINAL LABEL,BRAND_DIFFERENTIATOR_NAME
ORIGINAL LABEL CWB,BRAND_DIFFERENTIATOR_NAME
ORIGINAL LBL CFB,BRAND_DIFFERENTIATOR_NAME
ORIGINAL MENTHOL,BRAND_DIFFERENTIATOR_NAME
ORIGINAL RED,BRAND_DIFFERENTIATOR_NAME
ORIGINAL SELECTION,BRAND_DIFFERENTIATOR_NAME
ORIGINAL YELLOW,BRAND_DIFFERENTIATOR_NAME
ORIGINALS,BRAND_DIFFERENTIATOR_NAME
P BLACK,BRAND_DIFFERENTIATOR_NAME
P BLUE,BRAND_DIFFERENTIATOR_NAME
PACIFIC GREEN,BRAND_DIFFERENTIATOR_NAME
PLATINUM,BRAND_DIFFERENTIATOR_NAME
PLATINUM BLUE,BRAND_DIFFERENTIATOR_NAME
PREMIUM BAISHA,BRAND_DIFFERENTIATOR_NAME
PREMIUM BLACK,BRAND_DIFFERENTIATOR_NAME
PREMIUM BLACK FWD,BRAND_DIFFERENTIATOR_NAME
PREMIUM ONE,BRAND_DIFFERENTIATOR_NAME
PRIME,BRAND_DIFFERENTIATOR_NAME
PRIME BLEND,BRAND_DIFFERENTIATOR_NAME
PRONEX ONE,BRAND_DIFFERENTIATOR_NAME
PRONEX SUPER LIGHTS,BRAND_DIFFERENTIATOR_NAME
PURPLE,BRAND_DIFFERENTIATOR_NAME
PURPLE BURST,BRAND_DIFFERENTIATOR_NAME
QUANTUM,BRAND_DIFFERENTIATOR_NAME
QUANTUM BLUE,BRAND_DIFFERENTIATOR_NAME
QUANTUM INDIGO,BRAND_DIFFERENTIATOR_NAME
QUANTUM ONE,BRAND_DIFFERENTIATOR_NAME
QUANTUM SILVER,BRAND_DIFFERENTIATOR_NAME
RED,BRAND_DIFFERENTIATOR_NAME
RED B,BRAND_DIFFERENTIATOR_NAME
RED BEYOND,BRAND_DIFFERENTIATOR_NAME
RED CAPSULE,BRAND_DIFFERENTIATOR_NAME
RED CROWN,BRAND_DIFFERENTIATOR_NAME
RED DC,BRAND_DIFFERENTIATOR_NAME
RED FWD,BRAND_DIFFERENTIATOR_NAME
RED LABEL,BRAND_DIFFERENTIATOR_NAME
RED LABEL CFB,BRAND_DIFFERENTIATOR_NAME
RED LABEL CWB,BRAND_DIFFERENTIATOR_NAME
RED LABEL B,BRAND_DIFFERENTIATOR_NAME
RED LABEL BONGO,BRAND_DIFFERENTIATOR_NAME
RED LABEL NON TRAVEL,BRAND_DIFFERENTIATOR_NAME
RED LINE,BRAND_DIFFERENTIATOR_NAME
RED STYLE,BRAND_DIFFERENTIATOR_NAME
RED TITANIUM EDITION,BRAND_DIFFERENTIATOR_NAME
RED UPGRADE,BRAND_DIFFERENTIATOR_NAME
REDGOLD,BRAND_DIFFERENTIATOR_NAME
REDWHITE,BRAND_DIFFERENTIATOR_NAME
REMIX,BRAND_DIFFERENTIATOR_NAME
RESERVE BLEND,BRAND_DIFFERENTIATOR_NAME
RICH,BRAND_DIFFERENTIATOR_NAME
RICH BLUE,BRAND_DIFFERENTIATOR_NAME
RICH FLAVOUR,BRAND_DIFFERENTIATOR_NAME
RICH GOLD,BRAND_DIFFERENTIATOR_NAME
RICH MENTHOL FRM,BRAND_DIFFERENTIATOR_NAME
RICHE,BRAND_DIFFERENTIATOR_NAME
ROJO ORIGINAL,BRAND_DIFFERENTIATOR_NAME
ROSE,BRAND_DIFFERENTIATOR_NAME
ROSSA,BRAND_DIFFERENTIATOR_NAME
ROSSO,BRAND_DIFFERENTIATOR_NAME
SELECT,BRAND_DIFFERENTIATOR_NAME
SELECT TOBACCOS,BRAND_DIFFERENTIATOR_NAME
SELECTION BLUE,BRAND_DIFFERENTIATOR_NAME
SELECTION RED,BRAND_DIFFERENTIATOR_NAME
SHUFFLE,BRAND_DIFFERENTIATOR_NAME
SILVER,BRAND_DIFFERENTIATOR_NAME
SILVER BLUE,BRAND_DIFFERENTIATOR_NAME
SILVER BLUE LABEL,BRAND_DIFFERENTIATOR_NAME
SILVER LABEL,BRAND_DIFFERENTIATOR_NAME
SILVER LABEL CWB,BRAND_DIFFERENTIATOR_NAME
SKM,BRAND_DIFFERENTIATOR_NAME
SNAP,BRAND_DIFFERENTIATOR_NAME
SOL SHUFFLE,BRAND_DIFFERENTIATOR_NAME
SOPHIA,BRAND_DIFFERENTIATOR_NAME
SPECIAL,BRAND_DIFFERENTIATOR_NAME
SPECIAL RESERVE,BRAND_DIFFERENTIATOR_NAME
SPECIALE,BRAND_DIFFERENTIATOR_NAME
SPLASH MEGA,BRAND_DIFFERENTIATOR_NAME
SSL,BRAND_DIFFERENTIATOR_NAME
STORM,BRAND_DIFFERENTIATOR_NAME
SUMMER FUSION,BRAND_DIFFERENTIATOR_NAME
SUMMER SPLASH,BRAND_DIFFERENTIATOR_NAME
SUPER,BRAND_DIFFERENTIATOR_NAME
SUPER LIGHTS,BRAND_DIFFERENTIATOR_NAME
SUPER SLIMS,BRAND_DIFFERENTIATOR_NAME
SUPER SLIMS BLUE,BRAND_DIFFERENTIATOR_NAME
SUPER SLIMS SILVER,BRAND_DIFFERENTIATOR_NAME
SUPREME,BRAND_DIFFERENTIATOR_NAME
TONE,BRAND_DIFFERENTIATOR_NAME
TOUCH,BRAND_DIFFERENTIATOR_NAME
TOUCH AQUA,BRAND_DIFFERENTIATOR_NAME
TOUCH BLUE,BRAND_DIFFERENTIATOR_NAME
TOUCH GRAY,BRAND_DIFFERENTIATOR_NAME
TOUCH ONE,BRAND_DIFFERENTIATOR_NAME
TROPICAL ICE,BRAND_DIFFERENTIATOR_NAME
TROPICAL MIX,BRAND_DIFFERENTIATOR_NAME
TROPICAL SPLASH,BRAND_DIFFERENTIATOR_NAME
ULTRA,BRAND_DIFFERENTIATOR_NAME
ULTRA LIGHTS,BRAND_DIFFERENTIATOR_NAME
ULTRA ONE,BRAND_DIFFERENTIATOR_NAME
UNISON,BRAND_DIFFERENTIATOR_NAME
UNISON BLEND,BRAND_DIFFERENTIATOR_NAME
UNPLUGGED,BRAND_DIFFERENTIATOR_NAME
VENTIL,BRAND_DIFFERENTIATOR_NAME
VIBE BEYOND,BRAND_DIFFERENTIATOR_NAME
VIRGINIA CAPSULE,BRAND_DIFFERENTIATOR_NAME
VISTA PURPLE FUSION,BRAND_DIFFERENTIATOR_NAME
VOLUTE,BRAND_DIFFERENTIATOR_NAME
WBURST,BRAND_DIFFERENTIATOR_NAME
WHITE,BRAND_DIFFERENTIATOR_NAME
WHITE FRESH,BRAND_DIFFERENTIATOR_NAME
WHITE MENTHOL,BRAND_DIFFERENTIATOR_NAME
WHITE MINT,BRAND_DIFFERENTIATOR_NAME
WIDES,BRAND_DIFFERENTIATOR_NAME
WINTER SHUFFLE,BRAND_DIFFERENTIATOR_NAME
XTRA BLUE,BRAND_DIFFERENTIATOR_NAME
XTRA GOLD,BRAND_DIFFERENTIATOR_NAME
XTRA GREEN,BRAND_DIFFERENTIATOR_NAME
XTRA RED,BRAND_DIFFERENTIATOR_NAME
ALPINE FINE MENTHOL,COMBINED
ALPINE ORIGINAL MENTHOL,COMBINED
ALPINE RICH MENTHOL FRM,COMBINED
ASSOS BLUE,COMBINED
ASSOS INTERNATIONAL GOLD,COMBINED
ASSOS INTERNATIONAL LIGHTS,COMBINED
ASSOS PREMIUM GOLD,COMBINED
ASSOS PREMIUM RED,COMBINED
ASSOS RED,COMBINED
BELMONT BLUE,COMBINED
BELMONT HYBRID,COMBINED
BELMONT SILVER,COMBINED
BELVEDERE BLUE,COMBINED
BELVEDERE SELECT,COMBINED
BENSON & HEDGES ALURA,COMBINED
BENSON & HEDGES BLACK,COMBINED
BENSON & HEDGES DE LUXE,COMBINED
BENSON & HEDGES DELUXE BLEND,COMBINED
BENSON & HEDGES GOLD,COMBINED
BENSON & HEDGES GOLDEN BLEND,COMBINED
BENSON & HEDGES GREEN,COMBINED
BENSON & HEDGES LATITUDE,COMBINED
BENSON & HEDGES LUMINO,COMBINED
BENSON & HEDGES LUMINO BLEND,COMBINED
BENSON & HEDGES MENTHOL BLEND,COMBINED
BENSON & HEDGES PRIME BLEND,COMBINED
BENSON & HEDGES RESERVE BLEND,COMBINED
BENSON & HEDGES SILVER,COMBINED
BENSON & HEDGES UNISON,COMBINED
BENSON & HEDGES UNISON BLEND,COMBINED
BENSON & HEDGES VOLUTE,COMBINED
BENSON & HEDGES WHITE,COMBINED
BOND STREET BLUE,COMBINED
BOND STREET BLUE SELECTION,COMBINED
BOND STREET GOLD,COMBINED
BOND STREET GOLD FRESH BURST,COMBINED
BOND STREET ORIGINAL SELECTION,COMBINED
BOND STREET RED,COMBINED
BRUNETTE ALPINE,COMBINED
BRUNETTE DOUBLE FILTER,COMBINED
BRUNETTE HELVETICA,COMBINED
CANADIAN CLASSICS BLUE,COMBINED
CANADIAN CLASSICS CRUSH,COMBINED
CANADIAN CLASSICS ORIGINAL,COMBINED
CANADIAN CLASSICS ORIGINALS,COMBINED
CANADIAN CLASSICS RICH,COMBINED
CANADIAN CLASSICS SILVER,COMBINED
CANADIAN CLASSICS WHITE,COMBINED
CHESTERFIELD BLUE,COMBINED
CHESTERFIELD BLUE CROWN,COMBINED
CHESTERFIELD BLUE DC,COMBINED
CHESTERFIELD CAPS PURPLE CC,COMBINED
CHESTERFIELD CLASSIC,COMBINED
CHESTERFIELD CLASSIC BLUE,COMBINED
CHESTERFIELD CLASSIC RED,COMBINED
CHESTERFIELD EXTRA MILD,COMBINED
CHESTERFIELD FILTER BLUE,COMBINED
CHESTERFIELD FILTER RED,COMBINED
CHESTERFIELD GREEN CROWN,COMBINED
CHESTERFIELD LIGHTS,COMBINED
CHESTERFIELD MILD,COMBINED
CHESTERFIELD NAKED LEAF SMASH,COMBINED
CHESTERFIELD ORANGE,COMBINED
CHESTERFIELD ORIGINAL,COMBINED
CHESTERFIELD ORIGINAL BLUE,COMBINED
CHESTERFIELD ORIGINAL RED,COMBINED
CHESTERFIELD RED,COMBINED
CHESTERFIELD RED CROWN,COMBINED
CHESTERFIELD RED DC,COMBINED
CHESTERFIELD REMIX,COMBINED
CHESTERFIELD UNPLUGGED,COMBINED
CHESTERFIELD VIRGINIA CAPSULE,COMBINED
CHESTERFIELD WHITE,COMBINED
CHOICE AMBER BURST,COMBINED
CHOICE BLONDE,COMBINED
CHOICE CLASSIC BLUE,COMBINED
CHOICE FILTER,COMBINED
CHOICE ORIGINAL BLUE,COMBINED
CHOICE RICH GOLD,COMBINED
CRAVEN A ORIGINAL,COMBINED
DERBY AZUL BALANCEADO,COMBINED
DERBY ROJO ORIGINAL,COMBINED
DIANA BLU,COMBINED
DIANA ROSSA,COMBINED
DUNHILL RED,COMBINED
DUNHILL SPECIAL RESERVE,COMBINED
EVE LILY,COMBINED
L&M BLUE LABEL,COMBINED
L&M BLUE LABEL B,COMBINED
L&M BLUE LABEL CFB,COMBINED
L&M BLUE LABEL CWB,COMBINED
L&M BLUE LABEL FI,COMBINED
L&M BLUE LABEL NON TRAVEL,COMBINED
L&M BLUE LABELBONGO,COMBINED
L&M BLUE LINE,COMBINED
L&M CHARCOAL FILTER,COMBINED
L&M COOL,COMBINED
L&M DOUBLE FORWARD,COMBINED
L&M FAST FORWARD,COMBINED
L&M FORWARD,COMBINED
L&M FORWARD BLUE,COMBINED
L&M FULL FLAVOR,COMBINED
L&M FWD BLU BLU,COMBINED
L&M FWD GRN BLU,COMBINED
L&M GREEN,COMBINED
L&M GREEN LABEL,COMBINED
L&M GREEN LABEL COOL,COMBINED
L&M GREEN LABEL CWB,COMBINED
L&M GREEN LINE,COMBINED
L&M INTERNATIONAL RED,COMBINED
L&M LIGHTS,COMBINED
L&M LOFT,COMBINED
L&M MENTHOL CAPSULE,COMBINED
L&M ORANGE LABEL,COMBINED
L&M ORIGINAL LABEL,COMBINED
L&M ORIGINAL LABEL CWB,COMBINED
L&M ORIGINAL LBL CFB,COMBINED
L&M RED,COMBINED
L&M RED CAPSULE,COMBINED
L&M RED LABEL,COMBINED
L&M RED LABEL B,COMBINED
L&M RED LABEL BONGO,COMBINED
L&M RED LABEL CFB,COMBINED
L&M RED LABEL CWB,COMBINED
L&M RED LABEL NON TRAVEL,COMBINED
L&M RED LINE,COMBINED
L&M RED STYLE,COMBINED
L&M SILVER BLUE LABEL,COMBINED
L&M SILVER LABEL,COMBINED
L&M SILVER LABEL CWB,COMBINED
L&M STORM,COMBINED
L&M SUPER LIGHTS,COMBINED
LARK BLUE,COMBINED
LARK EXTRA,COMBINED
LARK EXTRA MILDS,COMBINED
LARK FF,COMBINED
LARK HARMONY,COMBINED
LARK HYBRID,COMBINED
LARK LIGHT,COMBINED
LARK MILDS,COMBINED
LARK MINT SPLASH,COMBINED
LARK ONE,COMBINED
LARK PACIFIC GREEN,COMBINED
LARK PREMIUM ONE,COMBINED
LARK PRONEX ONE,COMBINED
LARK PRONEX SUPER LIGHTS,COMBINED
LARK SUPER,COMBINED
LARK SUPER LIGHTS,COMBINED
LARK TROPICAL ICE,COMBINED
LARK ULTRA,COMBINED
LARK ULTRA LIGHTS,COMBINED
LARK ULTRA ONE,COMBINED
LARK-BAISHA PREMIUM BAISHA,COMBINED
LONGBEACH FILTER,COMBINED
LONGBEACH FINE SILVER,COMBINED
LONGBEACH MENTHOL GREEN,COMBINED
LONGBEACH ORIGINAL FLAVOUR,COMBINED
LONGBEACH ORIGINAL YELLOW,COMBINED
LONGBEACH RICH BLUE,COMBINED
MARK TEN ORIGINAL,COMBINED
MARK TEN RICHE,COMBINED
MARK TEN SPECIALE,COMBINED
MARLBORO ADDITIVE FREE BLUE,COMBINED
MARLBORO ADDITIVE FREE RED,COMBINED
MARLBORO ADVANCE ORIG,COMBINED
MARLBORO ADVANCE SILVER,COMBINED
MARLBORO AMBER,COMBINED
MARLBORO AMBER BURST,COMBINED
MARLBORO BEYOND BLUE,COMBINED
MARLBORO BEYOND BLUE NOCAP,COMBINED
MARLBORO BEYOND GOLD MINT,COMBINED
MARLBORO BEYOND RED,COMBINED
MARLBORO BLACK,COMBINED
